year;region;rate
2013;1;0.251301102
2014;1;0.211743161
2015;1;0.283972077
2016;1;0.125058968
2017;1;0.105602401
2018;1;0.072628116
2019;1;0.203163676
2020;1;0.259850746
2021;1;0.492929666
2022;1;1.026822441
2023;1;0.71345358
2024;1;1.187503677
2013;2;0.324495513
2014;2;0.317028157
2015;2;0.41807358
2016;2;0.52383163
2017;2;0.175994675
2018;2;0.153046674
2019;2;0.421040768
2020;2;0.301367627
2021;2;0.33939972
2022;2;0.839342823
2023;2;0.485575753
2024;2;1.669421608
2013;3;0.388873184
2014;3;0.233178179
2015;3;0.860319332
2016;3;0.732441313
2017;3;0.098119593
2018;3;0.125520304
2019;3;1.030377289
2020;3;0.438257074
2021;3;0.282241955
2022;3;1.077811893
2023;3;1.982020542
2024;3;11.64641344
2013;4;0.100023998
2014;4;0.069980969
2015;4;0.115035215
2016;4;0.31550959
2017;4;0
2018;4;0.005452614
2019;4;0.174327962
2020;4;1.225272191
2021;4;0.327821098
2022;4;1.932500857
2023;4;2.104780064
2024;4;10.80961523
2013;5;1.305766203
2014;5;1.037956068
2015;5;1.404568118
2016;5;1.273373838
2017;5;0.797949204
2018;5;1.19581216
2019;5;2.422920558
2020;5;2.157267882
2021;5;1.411647173
2022;5;4.520378088
2023;5;3.166212213
2024;5;15.50062256
2013;Total;0.386200884
2014;Total;0.291032844
2015;Total;0.624059536
2016;Total;0.606349545
2017;Total;0.15869223
2018;Total;0.192764772
2019;Total;0.780013673
2020;Total;0.638440528
2021;Total;0.408301967
2022;Total;1.411698766
2023;Total;1.60600573
2024;Total;8.472759676
